,tmstamp,sys3_temp_c_c2
0,2022-03-28 00:00:00,68.21600151062012
1,2022-03-28 00:01:00,68.19800109863282
2,2022-03-28 00:02:00,68.18000068664551
3,2022-03-28 00:03:00,68.14399986267091
4,2022-03-28 00:04:00,68.1259994506836
5,2022-03-28 00:05:00,68.08999862670899
6,2022-03-28 00:06:00,68.07200164794922
7,2022-03-28 00:07:00,68.0360008239746
8,2022-03-28 00:08:00,68.01800041198732
9,2022-03-28 00:09:00,67.9819995880127
10,2022-03-28 00:10:00,67.9639991760254
11,2022-03-28 00:11:00,67.92799835205079
12,2022-03-28 00:12:00,67.91000137329101
13,2022-03-28 00:13:00,67.89200096130372
14,2022-03-28 00:14:00,67.8740005493164
15,2022-03-28 00:15:00,67.8379997253418
16,2022-03-28 00:16:00,67.81999931335449
17,2022-03-28 00:17:00,67.8019989013672
18,2022-03-28 00:18:00,67.76600151062013
19,2022-03-28 00:19:00,67.73000068664551
20,2022-03-28 00:20:00,67.71200027465821
21,2022-03-28 00:21:00,67.69399986267089
22,2022-03-28 00:22:00,67.65799903869629
23,2022-03-28 00:23:00,67.63999862670899
24,2022-03-28 00:24:00,67.60400123596192
25,2022-03-28 00:25:00,67.58600082397462
26,2022-03-28 00:26:00,67.55000000000001
27,2022-03-28 00:27:00,67.5319995880127
28,2022-03-28 00:28:00,67.5139991760254
29,2022-03-28 00:29:00,67.47799835205078
30,2022-03-28 00:30:00,67.46000137329102
31,2022-03-28 00:31:00,67.4420009613037
32,2022-03-28 00:32:00,67.4060001373291
33,2022-03-28 00:33:00,67.3879997253418
34,2022-03-28 00:34:00,67.35199890136718
35,2022-03-28 00:35:00,67.3339984893799
36,2022-03-28 00:36:00,67.29800109863282
37,2022-03-28 00:37:00,67.28000068664551
38,2022-03-28 00:38:00,67.2439998626709
39,2022-03-28 00:39:00,67.22599945068359
40,2022-03-28 00:40:00,67.2079990386963
41,2022-03-28 00:41:00,67.17200164794923
42,2022-03-28 00:42:00,67.15400123596191
43,2022-03-28 00:43:00,67.13600082397461
44,2022-03-28 00:44:00,67.1
45,2022-03-28 00:45:00,67.0819995880127
46,2022-03-28 00:46:00,67.04599876403809
47,2022-03-28 00:47:00,67.02799835205079
48,2022-03-28 00:48:00,67.01000137329102
49,2022-03-28 00:49:00,66.9740005493164
50,2022-03-28 00:50:00,66.95600013732911
51,2022-03-28 00:51:00,66.9199993133545
52,2022-03-28 00:52:00,66.9019989013672
53,2022-03-28 00:53:00,66.88399848937988
54,2022-03-28 00:54:00,66.8480010986328
55,2022-03-28 00:55:00,66.83000068664552
56,2022-03-28 00:56:00,66.7939998626709
57,2022-03-28 00:57:00,66.7759994506836
58,2022-03-28 00:58:00,66.75799903869628
59,2022-03-28 00:59:00,66.72200164794921
60,2022-03-28 01:00:00,66.70400123596193
61,2022-03-28 01:01:00,66.68600082397461
62,2022-03-28 01:02:00,66.66800041198731
63,2022-03-28 01:03:00,66.63199958801269
64,2022-03-28 01:04:00,66.6139991760254
65,2022-03-28 01:05:00,66.59599876403809
66,2022-03-28 01:06:00,66.57799835205078
67,2022-03-28 01:07:00,66.56000137329102
68,2022-03-28 01:08:00,66.54200096130371
69,2022-03-28 01:09:00,66.52400054931641
70,2022-03-28 01:10:00,66.5060001373291
71,2022-03-28 01:11:00,66.48799972534181
72,2022-03-28 01:12:00,66.46999931335449
73,2022-03-28 01:13:00,66.45199890136719
74,2022-03-28 01:14:00,66.41600151062012
75,2022-03-28 01:15:00,66.41600151062012
76,2022-03-28 01:16:00,66.3800006866455
77,2022-03-28 01:17:00,66.36200027465821
78,2022-03-28 01:18:00,66.3439998626709
79,2022-03-28 01:19:00,66.3079990386963
80,2022-03-28 01:20:00,66.28999862670898
81,2022-03-28 01:21:00,66.27200164794922
82,2022-03-28 01:22:00,66.23600082397462
83,2022-03-28 01:23:00,66.2180004119873
84,2022-03-28 01:24:00,66.2
85,2022-03-28 01:25:00,66.1819995880127
86,2022-03-28 01:26:00,66.16399917602538
